ID,Name,Year,Month,Day,Status,Wind_mph,Latitude,Longitude
AL011851,UNNAMED,1851,6,25, HU,80,28.2,-96.8
AL041851,UNNAMED,1851,8,23, HU,100,30.1,-85.7
AL061851,UNNAMED,1851,10,19, TS,50,41.1,-71.7
AL011852,UNNAMED,1852,8,26, HU,100,30.2,-88.6
AL031852,UNNAMED,1852,9,12, HU,70,28,-82.8
AL051852,UNNAMED,1852,10,9, HU,90,29.9,-84.4
AL011854,UNNAMED,1854,6,26, HU,70,26.2,-97
AL031854,UNNAMED,1854,9,8, HU,100,31.7,-81.1
AL041854,UNNAMED,1854,9,18, HU,90,28.9,-95.3
AL051855,UNNAMED,1855,9,16, HU,110,29.2,-89.5
AL011856,UNNAMED,1856,8,10, HU,130,29.2,-91.1
AL031856,UNNAMED,1856,8,19, TS,50,34.8,-76.4
AL051856,UNNAMED,1856,8,31, HU,90,30.2,-85.9
AL021857,UNNAMED,1857,9,13, HU,90,33.9,-78
AL041857,UNNAMED,1857,9,30, TS,50,25.8,-97
AL031858,UNNAMED,1858,9,14, TS,60,27.6,-82.7
AL031858,UNNAMED,1858,9,16, HU,80,40.9,-72.2
AL031858,UNNAMED,1858,9,16, HU,70,41.4,-72
AL051859,UNNAMED,1859,9,16, HU,70,30.3,-88.1
AL071859,UNNAMED,1859,10,17, TS,60,26.4,-80.1
AL081859,UNNAMED,1859,10,28, HU,80,27.7,-82.8
AL011860,UNNAMED,1860,8,11, HU,110,29.2,-90
AL041860,UNNAMED,1860,9,15, HU,90,29.3,-89.6
AL061860,UNNAMED,1860,10,2, HU,90,29.5,-91.4
AL051861,UNNAMED,1861,9,27, HU,70,34.5,-77.4
AL071861,UNNAMED,1861,10,7, TS,50,35.3,-75.3
AL081861,UNNAMED,1861,11,1, TS,60,26,-81.8
AL081861,UNNAMED,1861,11,2, HU,70,34.7,-77.6
AL081861,UNNAMED,1861,11,3, TS,60,41,-72.3
AL081861,UNNAMED,1861,11,3, TS,60,41.2,-72
AL061863,UNNAMED,1863,9,18, TS,60,34.6,-77.1
AL091863,UNNAMED,1863,9,29, TS,60,29.3,-94.8
AL021865,UNNAMED,1865,6,30, TS,50,26,-97.5
AL041865,UNNAMED,1865,9,13, HU,90,29.8,-93.4
AL051865,UNNAMED,1865,9,7, TS,60,29.7,-92
AL071865,UNNAMED,1865,10,23, HU,90,24.6,-81.7
AL071865,UNNAMED,1865,10,23, HU,90,25.4,-81.1
AL011866,UNNAMED,1866,7,15, HU,90,28.5,-96.5
AL011867,UNNAMED,1867,6,22, HU,70,32.9,-79.7
AL071867,UNNAMED,1867,10,4, HU,90,29.2,-91
AL071867,UNNAMED,1867,10,6, HU,70,29.6,-83.4
